id,name,path
51,Shop pages - Placeholder image,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Placeholder image &gt; Define - attachment id for the placeholder image
52,Measurements - Weight unit,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Measurements &gt; Select - Weight unit
53,Measurements - Dimensions unit,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Measurements &gt; Select - Dimension unit
54,Reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews
55,Reviews - Enable product reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Check - Enable product reviews
56,Hide &quot;verified owner&quot; label on customer reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Uncheck - Show &quot;verified owner&quot; label on customer reviews
57,Show &quot;verified owner&quot; label on customer reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Check - Show &quot;verified owner&quot; label on customer reviews
58,Reviews - Reviews can be left by anyone,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Uncheck - Reviews can only be left by &quot;verified owners&quot;
59,Reviews - Reviews can only be left by &quot;verified owners&quot;,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Check - Reviews can only be left by &quot;verified owners&quot;
60,Reviews - Product ratings,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings
61,Product ratings - Enable star rating on reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Check - Enable star rating on reviews
62,Product ratings - Disable star rating on reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Uncheck - Enable star rating on reviews
63,"Star ratings should be required, not optional","WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Check - Star ratings should be required, not optional"
64,Product ratings - Star ratings should be optional,"WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Uncheck - Star ratings should be required, not optional"
65,Inventory Settings,WooCommerce &gt; Settings &gt; Products &gt; Inventory
66,Manage stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Manage stock &gt; Check - Enable stock management
67,Disable Stock Management,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Manage stock &gt; Uncheck - Enable stock management
68,Hold stock (minutes),WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Hold stock (minutes) &gt; Define - Hold Stock in minutes
69,Inverntory Notification - Enable low stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Check - Enable low stock notifications
70,Inverntory Notification - Disable low stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Uncheck - Enable low stock notifications
71,Inverntory Notification - Enable out of stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Check - Enable out of stock notifications
72,Inverntory Notification - Disable out of stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Uncheck - Enable out of stock notifications
73,Inverntory Notification recipient(s),WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notification recipient(s) &gt; Define - Recipient email address (CSV)
74,Inverntory Notification - Low stock threshold,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Low stock threshold &gt; Define - threshold # at which point you need to be notified
75,Inverntory Notification - Out of stock threshold,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Out of stock threshold &gt; Define - threshold # at which point you need to be notified
76,Out of stock visibility,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Out of stock visibility &gt; Hide out of stock items from the catalog
77,Always show quantity remaining in stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Stock display format &gt; Select - Always show quantity remaining in stock e.g. &quot;12 in stock&quot;
78,Only show quantity remaining in stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Stock display format &gt; Select - Only show quantity remaining in stock when low e.g. &quot;Only 2 left in stock&quot;
79,Never show quantity remaining in stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Stock display format &gt; Select - Never show quantity remaining in stock
80,Downloadable products,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products
81,File download method - Force downloads,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; File download method &gt; Force downloads
82,File download method - X-Accel-Redirect/X-Sendfile,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; File download method &gt; X-Accel-Redirect/X-Sendfile
83,File download method - Redirect only (Insecure),WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; File download method &gt; Redirect only (Insecure)
84,Access restriction - Downloads require login,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Check - Downloads require login
85,Access restriction - Downloads don&apos;t require login,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Uncheck - Downloads require login
86,Grant access to downloadable products after payment,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Check - Grant access to downloadable products after payment
87,Access downloadable products after status Completed,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Uncheck - Grant access to downloadable products after payment
88,Filename - Append Strings,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Filename &gt; Check - Append a unique string to filename for security
89,Filename - Don&apos;t Append Strings,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Filename &gt; Uncheck - Append a unique string to filename for security
90,Tax,WooCommerce &gt; Settings &gt; Tax
91,Tax options - prices inclusive of tax,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Select - Yes, I will enter prices inclusive of tax"
92,Tax options - prices exclusive of tax,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Select - No, I will enter prices exclusive of tax"
93,Calculate tax based on - Customer shipping address,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Calculate tax based on &gt; Select - Customer shipping address
94,Calculate tax based on - Customer billing address,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Calculate tax based on &gt; Select - Customer billing address
95,Calculate tax based on - Shop base address,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Calculate tax based on &gt; Select - Shop base address
96,Tax Rounding - Tax at subtotal level,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Tax Rounding &gt; Check - Round tax at subtotal level, instead of rounding per line"
97,Tax Rounding - Tax rounding per line,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Tax Rounding &gt; Uncheck - Round tax at subtotal level, instead of rounding per line"
98,Additional tax classes,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Additional tax classes &gt; List - Additional Tax classes you need, in addition to Standard Rates"
99,Display prices in the shop - Excluding Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices in the shop &gt; Select - Excluding Tax
100,Display prices in the shop - Including Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices in the shop &gt; Select - Including Tax
101,Display prices during cart and checkout - Excluding Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices during cart and checkout &gt; Select - Excluding Tax
102,Display prices during cart and checkout - Including Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices during cart and checkout &gt; Select - Including Tax
103,Price display suffix,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Price display suffix &gt; Define - Text to show after product prices
104,Display tax totals - Itemized,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display tax totals &gt; Itemized
105,Display tax totals - As a single total,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display tax totals &gt; As a single total
106,Standard rates,WooCommerce &gt; Settings &gt; Tax &gt; Standard rates
107,Reduced rate rates,WooCommerce &gt; Settings &gt; Tax &gt; Reduced rate rates
108,Zero rate rates,WooCommerce &gt; Settings &gt; Tax &gt; Zero rate rates
109,Payment methods,WooCommerce &gt; Settings &gt; Payments
110,Direct bank transfer,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer
111,Direct bank transfer - Enable,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Check - Enable bank transfer
112,Direct bank transfer - Disable,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Uncheck - Enable bank transfer
113,Direct bank transfer - Title,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Title
114,Direct bank transfer - Description,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Description
115,Direct bank transfer - Instructions,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Instructions
116,Direct bank transfer - Account details,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Account details
117,Check payments,WooCommerce &gt; Settings &gt; Payments &gt; Check payments
118,Check payments - Enable,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Check - Enable Check payments
119,Check payments - Disable,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Uncheck - Enable Check payments
120,Check payments - Title,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Define - Title
121,Check payments - Description,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Define - Description
122,Check payments - Instructions,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Define - Instructions
123,Cash on delivery,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery
124,Cash on delivery - Enable,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Check - Enable Cash on delivery
125,Cash on delivery - Disable,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Uncheck - Enable Cash on delivery
126,Cash on delivery - Title,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Define - Title
127,Cash on delivery - Description,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Define - Description
128,Cash on delivery - Instructions,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Define - Instructions
129,Cash on delivery - Accept for virtual orders,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Accept for virtual orders &gt; Check - Accept COD if the order is virtual
130,Cash on delivery - Don&apos;t enable for virtual orders,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Accept for virtual orders &gt; Uncheck - Accept COD if the order is virtual
131,Cash on delivery - Enable for shipping methods,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Enable for shipping methods &gt; Select - All defined shipping methods where COD is valid
132,PayPal Standard,WooCommerce &gt; Settings &gt; Payments &gt; PayPal
133,PayPal Standard - Enable,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Check - Enable PayPal
134,PayPal Standard - Disable,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Uncheck - Enable PayPal
135,PayPal Standard - Title,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Define - Title
136,PayPal Standard - Description,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Define - Description
137,PayPal Standard - PayPal Email,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal email &gt; Define - Email address to receive payment
138,PayPal Standard - Enable PayPal sandbox,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal sandbox &gt; Check - Enable PayPal sandbox
139,PayPal Standard - Enable PayPal live,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal sandbox &gt; Uncheck - Enable PayPal sandbox
140,PayPal Standard - Debug log,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Debug log &gt; Check - Enable logging
141,PayPal Standard - Disable Debug log,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Debug log &gt; Uncheck - Enable logging
142,PayPal Standard - IPN Email Notifications,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Check - Enable IPN Email Notifications
143,PayPal Standard - Disable IPN Email Notifications,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Uncheck - Enable IPN Email Notifications
144,PayPal Standard - Receiver email,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Receiver email &gt; Define - Email address on PayPal Account
145,PayPal Standard - PayPal identity token,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal identity token &gt; Define - PayPal Identity token from PayPal account for Payment Data Transfer (PDT)
146,PayPal Standard - Invoice prefix,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Invoice prefix &gt; Define - Invoice prefix for PayPal invoice numbers
147,PayPal Standard - Shipping details,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Shipping details &gt; Check - Send shipping details to PayPal instead of billing
148,PayPal Standard - Disable Shipping details,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Shipping details &gt; Uncheck - Send shipping details to PayPal instead of billing
149,PayPal Standard - Address override,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Address override &gt; Check - Enable &quot;address_override&quot; to prevent address information from being changed
150,PayPal Standard - Disable Address override,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Address override &gt; Uncheck - Enable &quot;address_override&quot; to prevent address information from being changed
151,PayPal Standard - Payment action Capture,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Payment action &gt; Select - Capture
152,PayPal Standard - Payment action Authorize,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Payment action &gt; Select - Authorize
153,PayPal Standard - Page style,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Page style &gt; Define - Page Style defined in PayPal account
154,PayPal Standard - Image url,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Image url &gt; Define image URL (150*150) to be displayed in PayPal Checkout pages
155,PayPal Standard - Live API username,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Live API username
156,PayPal Standard - Live API password,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Live API password
157,PayPal Standard - Live API signature,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Live API signature
158,PayPal Standard - Sandbox API username,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Sandbox API username
159,PayPal Standard - Sandbox API password,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Sandbox API password
160,PayPal Standard - Sandbox API signature,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Sandbox API signature
161,Shipping,WooCommerce &gt; Settings &gt; Shipping
162,Shipping zones,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping zones
163,Add Shipping zone,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping zones &gt; Add shipping zone
164,Enable the shipping calculator on the cart page,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Check - Enable the shipping calculator on the cart page
165,Disable the shipping calculator on the cart page,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Uncheck - Enable the shipping calculator on the cart page
166,Hide shipping costs until an address is entered,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Check - Hide shipping costs until an address is entered
167,Show shipping costs before an address is entered,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Uncheck - Hide shipping costs until an address is entered
168,Default to customer shipping address,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Shipping destination &gt; Select - Default to customer shipping address
169,Default to customer billing address,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Shipping destination &gt; Select - Default to customer billing address
170,Force shipping to the customer billing address,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Shipping destination &gt; Select - Force shipping to the customer billing address
171,Shipping - Enable Logging,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Debug mode &gt; Check - Enable debug mode
172,Shipping - Disable Logging,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Debug mode &gt; Uncheck - Enable debug mode
173,Shipping classes,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping classes
174,Add Shipping class,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping classes &gt; Add Shipping class
175,Accounts &amp; Privacy,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy
176,Allow customers to place orders without an account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Check - Allow customers to place orders without an account
177,Don&apos;t allow customers place orders without an account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Uncheck - Allow customers to place orders without an account
178,Checkout Page - Allow customers log in,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Check - Allow customers to log into an existing account during checkout
179,Guest Checkout - Prevent log-in from checkout page,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Uncheck - Allow customers to log into an existing account during checkout
180,Allow customers to create an account during checkout,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - Allow customers to create an account during checkout
181,Don&apos;t allow customers create account during checkout,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - Allow customers to create an account during checkout
182,My account page - Allow customers create account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - Allow customers to create an account on the &quot;My account&quot; page
183,My account page - Don&apos;t allow customer create account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - Allow customers to create an account on the &quot;My account&quot; page
184,Generate an account username for the customer,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - When creating an account, automatically generate an account username for the customer based on their name, surname or email"
185,Don&apos;t Generate an account username for the customer,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - When creating an account, automatically generate an account username for the customer based on their name, surname or email"
186,Automatically generate account password,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - When creating an account, automatically generate an account password"
187,Don&apos;t Automatically generate account password,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - When creating an account, automatically generate an account password"
188,Remove personal data from orders on request,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Check - Remove personal data from orders on request
189,Disable Removal of personal data from orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Uncheck - Remove personal data from orders on request
190,Remove access to downloads on request,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Check - Remove access to downloads on request
191,Don&apos;t Remove access to downloads on request,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Uncheck - Remove access to downloads on request
192,Allow personal data to be removed in bulk from orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Personal data removal &gt; Check - Allow personal data to be removed in bulk from orders
193,Don&apos;t Allow personal data removed in bulk from orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Personal data removal &gt; Uncheck - Allow personal data to be removed in bulk from orders
194,Privacy policy - Privacy page,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Select - Privacy page
195,Privacy policy - Registration privacy policy,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Registration privacy policy &gt; Define - Policy to be shown on account registration forms
196,Privacy policy - Checkout privacy policy,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Checkout privacy policy &gt; Define - Policy to be shown on checkout page
197,Personal data retention - Retain inactive accounts,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain inactive accounts &gt; Define - time limit
198,Personal data retention - Retain pending orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain pending orders &gt; Define - time limit
199,Personal data retention - Retain failed orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain failed orders &gt; Define - time limit
200,Personal data retention - Retain cancelled orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain cancelled orders &gt; Define - time limit
201,Email notifications,WooCommerce &gt; Settings &gt; Emails
202,New Order Email,WooCommerce &gt; Settings &gt; Emails &gt; New Order
203,New Order - Enable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Check - Enable this email notification
204,New Order - Disable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Uncheck - Enable this email notification
205,New Order - Recipient(s),WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Recipient(s) &gt; Define - Email addresses that need to be notified (CSV)
206,New Order - Subject,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Subject &gt; Define - Subject of Email notification
207,New Order - Email heading,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email heading &gt; Define - Email heading
208,New Order - Additional content,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Additional content &gt; Define - Text to enter below main email content
209,New Order - Email type - HTML,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email type &gt; Select - Email type HTML
210,New Order - Email type - Plain text,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email type &gt; Select - Email type Plain text
211,New Order - View Template,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; HTML template &gt; Click - View Template
212,New Order - Custom Template,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
213,Cancelled Order Email,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order
214,Cancelled Order - Enable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Check - Enable this email notification
215,Cancelled Order - Disable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Uncheck - Enable this email notification
216,Cancelled Order - Recipient(s),WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Recipient(s) &gt; Define - Email addresses that need to be notified (CSV)
217,Cancelled Order - Subject,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Subject &gt; Define - Subject of Email notification
218,Cancelled Order - Email heading,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Email heading &gt; Define - Email heading
