id,name,path
41,Currency position - Left with space,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Left with space
42,Currency position - Right with space,WooCommerce &gt; Settings &gt; Currency options &gt; Select - Currency position - Right with space
43,Currency - Thousand separator,WooCommerce &gt; Settings &gt; Currency options &gt; Thousand separator &gt; Define - Delimiter
44,Currency - Decimal separator,WooCommerce &gt; Settings &gt; Currency options &gt; Decimal separator &gt; Define - Delimiter
45,Currency - Number of decimals,WooCommerce &gt; Settings &gt; Currency options &gt; Number of decimals &gt; Enter #
46,Products,WooCommerce &gt; Settings &gt; Products
47,Products - General,WooCommerce &gt; Settings &gt; Products &gt; General
48,Shop pages - Shop page,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Select - Shop page
49,Add to cart behaviour - Redirect to cart,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Check - Redirect to the cart page after successful addition
50,Add to cart behaviour - Don&apos;t Redirect to cart,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Uncheck - Redirect to the cart page after successful addition
51,Disable AJAX add to cart buttons on archives,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Uncheck - Enable AJAX add to cart buttons on archives
52,Enable AJAX add to cart buttons on archives,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Add to cart behaviour &gt; Check - Enable AJAX add to cart buttons on archives
53,Shop pages - Placeholder image,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Shop pages &gt; Placeholder image &gt; Define - attachment id for the placeholder image
54,Measurements - Weight unit,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Measurements &gt; Select - Weight unit
55,Measurements - Dimensions unit,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Measurements &gt; Select - Dimension unit
56,Reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews
57,Reviews - Enable product reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Check - Enable product reviews
58,Hide &quot;verified owner&quot; label on customer reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Uncheck - Show &quot;verified owner&quot; label on customer reviews
59,Show &quot;verified owner&quot; label on customer reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Check - Show &quot;verified owner&quot; label on customer reviews
60,Reviews - Reviews can be left by anyone,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Uncheck - Reviews can only be left by &quot;verified owners&quot;
61,Reviews - Reviews can only be left by &quot;verified owners&quot;,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Enable Reviews &gt; Check - Reviews can only be left by &quot;verified owners&quot;
62,Reviews - Product ratings,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings
63,Product ratings - Enable star rating on reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Check - Enable star rating on reviews
64,Product ratings - Disable star rating on reviews,WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Uncheck - Enable star rating on reviews
65,"Star ratings should be required, not optional","WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Check - Star ratings should be required, not optional"
66,Product ratings - Star ratings should be optional,"WooCommerce &gt; Settings &gt; Products &gt; General &gt; Reviews &gt; Product ratings &gt; Uncheck - Star ratings should be required, not optional"
67,Inventory Settings,WooCommerce &gt; Settings &gt; Products &gt; Inventory
68,Manage stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Manage stock &gt; Check - Enable stock management
69,Disable Stock Management,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Manage stock &gt; Uncheck - Enable stock management
70,Hold stock (minutes),WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Hold stock (minutes) &gt; Define - Hold Stock in minutes
71,Inverntory Notification - Enable low stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Check - Enable low stock notifications
72,Inverntory Notification - Disable low stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Uncheck - Enable low stock notifications
73,Inverntory Notification - Enable out of stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Check - Enable out of stock notifications
74,Inverntory Notification - Disable out of stock notifications,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notifications &gt; Uncheck - Enable out of stock notifications
75,Inverntory Notification recipient(s),WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Notification recipient(s) &gt; Define - Recipient email address (CSV)
76,Inverntory Notification - Low stock threshold,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Low stock threshold &gt; Define - threshold # at which point you need to be notified
77,Inverntory Notification - Out of stock threshold,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Out of stock threshold &gt; Define - threshold # at which point you need to be notified
78,Out of stock visibility,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Out of stock visibility &gt; Hide out of stock items from the catalog
79,Always show quantity remaining in stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Stock display format &gt; Select - Always show quantity remaining in stock e.g. &quot;12 in stock&quot;
80,Only show quantity remaining in stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Stock display format &gt; Select - Only show quantity remaining in stock when low e.g. &quot;Only 2 left in stock&quot;
81,Never show quantity remaining in stock,WooCommerce &gt; Settings &gt; Products &gt; Inventory &gt; Stock display format &gt; Select - Never show quantity remaining in stock
82,Downloadable products,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products
83,File download method - Force downloads,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; File download method &gt; Force downloads
84,File download method - X-Accel-Redirect/X-Sendfile,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; File download method &gt; X-Accel-Redirect/X-Sendfile
85,File download method - Redirect only (Insecure),WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; File download method &gt; Redirect only (Insecure)
86,Access restriction - Downloads require login,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Check - Downloads require login
87,Access restriction - Downloads don&apos;t require login,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Uncheck - Downloads require login
88,Grant access to downloadable products after payment,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Check - Grant access to downloadable products after payment
89,Access downloadable products after status Completed,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Access restriction &gt; Uncheck - Grant access to downloadable products after payment
90,Filename - Append Strings,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Filename &gt; Check - Append a unique string to filename for security
91,Filename - Don&apos;t Append Strings,WooCommerce &gt; Settings &gt; Products &gt; Downloadable products &gt; Filename &gt; Uncheck - Append a unique string to filename for security
92,Tax,WooCommerce &gt; Settings &gt; Tax
93,Tax options - prices inclusive of tax,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Select - Yes, I will enter prices inclusive of tax"
94,Tax options - prices exclusive of tax,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Select - No, I will enter prices exclusive of tax"
95,Calculate tax based on - Customer shipping address,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Calculate tax based on &gt; Select - Customer shipping address
96,Calculate tax based on - Customer billing address,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Calculate tax based on &gt; Select - Customer billing address
97,Calculate tax based on - Shop base address,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Calculate tax based on &gt; Select - Shop base address
98,Tax Rounding - Tax at subtotal level,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Tax Rounding &gt; Check - Round tax at subtotal level, instead of rounding per line"
99,Tax Rounding - Tax rounding per line,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Tax Rounding &gt; Uncheck - Round tax at subtotal level, instead of rounding per line"
100,Additional tax classes,"WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Additional tax classes &gt; List - Additional Tax classes you need, in addition to Standard Rates"
101,Display prices in the shop - Excluding Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices in the shop &gt; Select - Excluding Tax
102,Display prices in the shop - Including Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices in the shop &gt; Select - Including Tax
103,Display prices during cart and checkout - Excluding Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices during cart and checkout &gt; Select - Excluding Tax
104,Display prices during cart and checkout - Including Tax,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display prices during cart and checkout &gt; Select - Including Tax
105,Price display suffix,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Price display suffix &gt; Define - Text to show after product prices
106,Display tax totals - Itemized,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display tax totals &gt; Itemized
107,Display tax totals - As a single total,WooCommerce &gt; Settings &gt; Tax &gt; Tax options &gt; Display tax totals &gt; As a single total
108,Standard rates,WooCommerce &gt; Settings &gt; Tax &gt; Standard rates
109,Reduced rate rates,WooCommerce &gt; Settings &gt; Tax &gt; Reduced rate rates
110,Zero rate rates,WooCommerce &gt; Settings &gt; Tax &gt; Zero rate rates
111,Payment methods,WooCommerce &gt; Settings &gt; Payments
112,Direct bank transfer,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer
113,Direct bank transfer - Enable,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Check - Enable bank transfer
114,Direct bank transfer - Disable,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Uncheck - Enable bank transfer
115,Direct bank transfer - Title,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Title
116,Direct bank transfer - Description,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Description
117,Direct bank transfer - Instructions,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Instructions
118,Direct bank transfer - Account details,WooCommerce &gt; Settings &gt; Payments &gt; Direct bank transfer &gt; Define - Account details
119,Check payments,WooCommerce &gt; Settings &gt; Payments &gt; Check payments
120,Check payments - Enable,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Check - Enable Check payments
121,Check payments - Disable,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Uncheck - Enable Check payments
122,Check payments - Title,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Define - Title
123,Check payments - Description,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Define - Description
124,Check payments - Instructions,WooCommerce &gt; Settings &gt; Payments &gt; Check payments &gt; Define - Instructions
125,Cash on delivery,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery
126,Cash on delivery - Enable,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Check - Enable Cash on delivery
127,Cash on delivery - Disable,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Uncheck - Enable Cash on delivery
128,Cash on delivery - Title,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Define - Title
129,Cash on delivery - Description,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Define - Description
130,Cash on delivery - Instructions,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Define - Instructions
131,Cash on delivery - Accept for virtual orders,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Accept for virtual orders &gt; Check - Accept COD if the order is virtual
132,Cash on delivery - Don&apos;t enable for virtual orders,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Accept for virtual orders &gt; Uncheck - Accept COD if the order is virtual
133,Cash on delivery - Enable for shipping methods,WooCommerce &gt; Settings &gt; Payments &gt; Cash on delivery &gt; Enable for shipping methods &gt; Select - All defined shipping methods where COD is valid
134,PayPal Standard,WooCommerce &gt; Settings &gt; Payments &gt; PayPal
135,PayPal Standard - Enable,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Check - Enable PayPal
136,PayPal Standard - Disable,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Uncheck - Enable PayPal
137,PayPal Standard - Title,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Define - Title
138,PayPal Standard - Description,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Define - Description
139,PayPal Standard - PayPal Email,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal email &gt; Define - Email address to receive payment
140,PayPal Standard - Enable PayPal sandbox,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal sandbox &gt; Check - Enable PayPal sandbox
141,PayPal Standard - Enable PayPal live,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal sandbox &gt; Uncheck - Enable PayPal sandbox
142,PayPal Standard - Debug log,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Debug log &gt; Check - Enable logging
143,PayPal Standard - Disable Debug log,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Debug log &gt; Uncheck - Enable logging
144,PayPal Standard - IPN Email Notifications,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Check - Enable IPN Email Notifications
145,PayPal Standard - Disable IPN Email Notifications,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Uncheck - Enable IPN Email Notifications
146,PayPal Standard - Receiver email,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Receiver email &gt; Define - Email address on PayPal Account
147,PayPal Standard - PayPal identity token,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; PayPal identity token &gt; Define - PayPal Identity token from PayPal account for Payment Data Transfer (PDT)
148,PayPal Standard - Invoice prefix,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Invoice prefix &gt; Define - Invoice prefix for PayPal invoice numbers
149,PayPal Standard - Shipping details,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Shipping details &gt; Check - Send shipping details to PayPal instead of billing
150,PayPal Standard - Disable Shipping details,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Shipping details &gt; Uncheck - Send shipping details to PayPal instead of billing
151,PayPal Standard - Address override,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Address override &gt; Check - Enable &quot;address_override&quot; to prevent address information from being changed
152,PayPal Standard - Disable Address override,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Address override &gt; Uncheck - Enable &quot;address_override&quot; to prevent address information from being changed
153,PayPal Standard - Payment action Capture,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Payment action &gt; Select - Capture
154,PayPal Standard - Payment action Authorize,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Payment action &gt; Select - Authorize
155,PayPal Standard - Page style,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Page style &gt; Define - Page Style defined in PayPal account
156,PayPal Standard - Image url,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; Image url &gt; Define image URL (150*150) to be displayed in PayPal Checkout pages
157,PayPal Standard - Live API username,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Live API username
158,PayPal Standard - Live API password,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Live API password
159,PayPal Standard - Live API signature,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Live API signature
160,PayPal Standard - Sandbox API username,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Sandbox API username
161,PayPal Standard - Sandbox API password,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Sandbox API password
162,PayPal Standard - Sandbox API signature,WooCommerce &gt; Settings &gt; Payments &gt; PayPal &gt; API credentials &gt; Define - Sandbox API signature
163,Shipping,WooCommerce &gt; Settings &gt; Shipping
164,Shipping zones,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping zones
165,Add Shipping zone,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping zones &gt; Add shipping zone
166,Enable the shipping calculator on the cart page,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Check - Enable the shipping calculator on the cart page
167,Disable the shipping calculator on the cart page,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Uncheck - Enable the shipping calculator on the cart page
168,Hide shipping costs until an address is entered,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Check - Hide shipping costs until an address is entered
169,Show shipping costs before an address is entered,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Calculations &gt; Uncheck - Hide shipping costs until an address is entered
170,Default to customer shipping address,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Shipping destination &gt; Select - Default to customer shipping address
171,Default to customer billing address,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Shipping destination &gt; Select - Default to customer billing address
172,Force shipping to the customer billing address,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Shipping destination &gt; Select - Force shipping to the customer billing address
173,Shipping - Enable Logging,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Debug mode &gt; Check - Enable debug mode
174,Shipping - Disable Logging,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping Options &gt; Debug mode &gt; Uncheck - Enable debug mode
175,Shipping classes,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping classes
176,Add Shipping class,WooCommerce &gt; Settings &gt; Shipping &gt; Shipping classes &gt; Add Shipping class
177,Accounts &amp; Privacy,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy
178,Allow customers to place orders without an account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Check - Allow customers to place orders without an account
179,Don&apos;t allow customers place orders without an account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Uncheck - Allow customers to place orders without an account
180,Checkout Page - Allow customers log in,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Check - Allow customers to log into an existing account during checkout
181,Guest Checkout - Prevent log-in from checkout page,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Guest checkout &gt; Uncheck - Allow customers to log into an existing account during checkout
182,Allow customers to create an account during checkout,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - Allow customers to create an account during checkout
183,Don&apos;t allow customers create account during checkout,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - Allow customers to create an account during checkout
184,My account page - Allow customers create account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - Allow customers to create an account on the &quot;My account&quot; page
185,My account page - Don&apos;t allow customer create account,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - Allow customers to create an account on the &quot;My account&quot; page
186,Generate an account username for the customer,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - When creating an account, automatically generate an account username for the customer based on their name, surname or email"
187,Don&apos;t Generate an account username for the customer,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - When creating an account, automatically generate an account username for the customer based on their name, surname or email"
188,Automatically generate account password,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - When creating an account, automatically generate an account password"
189,Don&apos;t Automatically generate account password,"WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - When creating an account, automatically generate an account password"
190,Remove personal data from orders on request,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Check - Remove personal data from orders on request
191,Disable Removal of personal data from orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Uncheck - Remove personal data from orders on request
192,Remove access to downloads on request,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Check - Remove access to downloads on request
193,Don&apos;t Remove access to downloads on request,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Uncheck - Remove access to downloads on request
194,Allow personal data to be removed in bulk from orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Personal data removal &gt; Check - Allow personal data to be removed in bulk from orders
195,Don&apos;t Allow personal data removed in bulk from orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Personal data removal &gt; Uncheck - Allow personal data to be removed in bulk from orders
196,Privacy policy - Privacy page,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Select - Privacy page
197,Privacy policy - Registration privacy policy,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Registration privacy policy &gt; Define - Policy to be shown on account registration forms
198,Privacy policy - Checkout privacy policy,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Checkout privacy policy &gt; Define - Policy to be shown on checkout page
199,Personal data retention - Retain inactive accounts,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain inactive accounts &gt; Define - time limit
200,Personal data retention - Retain pending orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain pending orders &gt; Define - time limit
201,Personal data retention - Retain failed orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain failed orders &gt; Define - time limit
202,Personal data retention - Retain cancelled orders,WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain cancelled orders &gt; Define - time limit
203,Email notifications,WooCommerce &gt; Settings &gt; Emails
204,New Order Email,WooCommerce &gt; Settings &gt; Emails &gt; New Order
205,New Order - Enable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Check - Enable this email notification
206,New Order - Disable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Uncheck - Enable this email notification
207,New Order - Recipient(s),WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Recipient(s) &gt; Define - Email addresses that need to be notified (CSV)
208,New Order - Subject,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Subject &gt; Define - Subject of Email notification
209,New Order - Email heading,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email heading &gt; Define - Email heading
210,New Order - Additional content,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Additional content &gt; Define - Text to enter below main email content
211,New Order - Email type - HTML,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email type &gt; Select - Email type HTML
212,New Order - Email type - Plain text,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email type &gt; Select - Email type Plain text
213,New Order - View Template,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; HTML template &gt; Click - View Template
214,New Order - Custom Template,WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
215,Cancelled Order Email,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order
216,Cancelled Order - Enable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Check - Enable this email notification
217,Cancelled Order - Disable this email notification,WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Uncheck - Enable this email notification
218,Cancelled Order - Recipient(s),WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Recipient(s) &gt; Define - Email addresses that need to be notified (CSV)
